species_tax_id	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
1074049	NA	NA	NA	NA	NA	NA	2812533.5	58.97	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	0	0	1	0	0	0	0	0
1307	0.3010299956639812	0.3010299956639812	NA	37	37	7.4	2107517.139	41.089	2016.254	4	55.878	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
90909	NA	NA	0.03742649794062367	84.45	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
1411117	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1411118	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1138190	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1138194	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1138170	NA	NA	NA	NA	28	NA	6557588	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
396	NA	NA	NA	26	26	4.6	6741672.75	61.263	6261.333	3	51.5	0	0	0	NA	0	0	1	1	0	0	1	0	0	0	0	0
2014	NA	NA	NA	28.2	28	8	6683209.909	72.551	5424.2	5	56.5	1	1	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
2277	NA	NA	0.6693168805661122	96.95	100	NA	1826401.6	49.6	1970	1	39	0	0	1	NA	0	1	0	0	1	0	1	0	0	0	0	0
29449	NA	NA	0.24600590407602912	28.5	29.789	NA	6652181.097	60.453	6294.692	3	51.125	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
33940	NA	NA	NA	57.5	63.75	NA	3578607.818	47.399	3407.6	10	89.25	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0
46203	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79909	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129338	-0.09691001300805639	NA	NA	56	NA	NA	3488255	52.2	3168	9	88	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
348824	NA	NA	NA	30	28	NA	7325539	NA	7057	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
356851	NA	NA	NA	28	NA	NA	6931579.5	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
574561	NA	NA	NA	26	NA	NA	6935653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
709883	-0.3979400086720376	NA	NA	28	NA	NA	7095932	NA	NA	NA	NA	NA	1	0	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1323731	NA	NA	NA	28	37	7.5	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
122364	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
381	NA	NA	0.38021124171160603	27	28	NA	7406539.571	61.546	7065.6	2	52	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
628	NA	NA	NA	26.5	30	NA	4721561.3	44.542	4297	7	79	0	0	0	NA	1	0	0	1	0	0	1	0	0	0	0	0
654	NA	NA	NA	32.5	30.833	7.94	4613297.562	58.614	4082	10	114.714	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
1829	0.07918124604762482	0.25527250510330607	NA	28.5	30	NA	6108459.118	67.235	4668	4	54	1	0	0	NA	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
1868	-0.3010299956639812	0.3010299956639812	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1869	NA	NA	NA	27	NA	NA	9489843	71.16	NA	NA	NA	1	1	1	NA	0	0	1	1	0	0	0	0	1	0	0	0
1886	NA	NA	NA	27	NA	NA	7073674	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1888	NA	NA	NA	28	28	NA	7727694.8	73.001	6340.714	6.5	65.6	1	1	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
2055	NA	NA	NA	31.5	NA	NA	5628455.25	67.8	4947.25	3	46	1	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
40576	NA	NA	NA	28	NA	7.2	4414385.176	44.922	4053.6	7	80	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
42239	NA	NA	NA	28	NA	NA	7165915	73.4	5917	7	66	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43617	NA	NA	NA	28.5	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
56730	NA	NA	NA	NA	29.8	NA	7355421.778	59.038	6799	3	51	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
68203	NA	NA	NA	26	NA	NA	7667500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68209	NA	NA	NA	28	NA	NA	7535750	73.628	6320	NA	71	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71433	-0.38721614328026455	-0.3279021420642826	NA	29	28	NA	7412438.8	62.679	6588.667	2	53	0	0	NA	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
75293	NA	NA	NA	NA	NA	NA	7664644.25	71.166	7697	6	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77635	-0.3010299956639812	0.3010299956639812	NA	37	34.75	NA	2773540	60.9	NA	NA	NA	1	0	NA	NA	0	1	0	1	0	0	1	0	0	0	0	0
78257	0.3010299956639812	NA	NA	37	NA	NA	2250820	NA	NA	NA	NA	1	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
92644	NA	NA	NA	28	NA	NA	10744200	71.095	8179	NA	64	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
111803	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
111804	NA	NA	NA	29	NA	NA	9353409.5	72	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113562	NA	NA	NA	28	NA	NA	10654081	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115335	NA	NA	NA	55	NA	NA	6717253	72.8	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
207340	NA	NA	NA	31	NA	NA	4432083.5	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
417102	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
504805	NA	NA	NA	28	30	NA	7057140	NA	NA	NA	NA	NA	1	0	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1437453	NA	NA	NA	28	NA	NA	7853523	72.656	6756	6	66	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0
230087	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51202	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1761016	NA	NA	NA	NA	NA	NA	8324640	62.2359	7167	NA	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1654716	NA	NA	NA	NA	NA	NA	8797166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1658765	NA	NA	NA	NA	NA	NA	4453613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1274359	NA	NA	NA	NA	NA	NA	5476267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
204934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	NA	1.6020599913279625	NA	28	NA	NA	10112373.833	67.464	8206.667	2	49	0	1	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
48	-0.22184874961635637	0.7781512503836436	NA	28	28	NA	12489425.6	69.424	9753.667	3	81	0	NA	NA	NA	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
292	NA	NA	NA	31.667	34.812	NA	8277561.991	66.716	7009.714	5.286	67.182	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
294	NA	NA	-0.2749054789185309	29.2	30.448	7.5	6259568.844	60.064	5671.69	5.083	66.85	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
300	NA	NA	NA	34	28.75	6	5269464	62.827	4809.375	4	66.667	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
316	-0.3010299956639812	0.0	NA	30	32.286	NA	4631241.803	61.763	4170.136	4	60.143	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0
375	NA	NA	1.0788916198402232	27	27.938	7.2	9075243.179	63.745	8530.667	1.667	54.25	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
384	NA	NA	0.22608411597582387	26	27.875	NA	7428054.952	60.512	6898.667	3	52	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
487	NA	NA	-0.14266750356873156	37	36.25	7	2174325.778	51.628	2159.443	4.105	58.945	0	0	0	NA	0	0	1	1	0	0	0	1	0	0	0	0
548	NA	NA	-0.5421181032660076	32.667	NA	NA	5288870.899	54.976	5050.133	8	86.692	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
573	NA	NA	-0.3098039199714863	36.92	36.944	NA	5617446.912	56.642	5436.857	8	86.649	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
584	NA	NA	NA	36	37	NA	4012589.333	38.848	3634.773	6.75	82.7	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
630	NA	NA	NA	30.5	28.929	7.6	4603445.82	45.099	4211.04	7.286	73.941	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
631	NA	NA	NA	30	NA	NA	4872302.381	47.468	4297.333	7	81	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
632	NA	NA	0.12515582958053018	35.667	34.747	NA	4697889.187	47.406	4207.245	6.696	68.939	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
633	NA	NA	0.40483371661993806	33.333	28.833	NA	4710675.5	46.496	4158.667	7	80.714	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
636	NA	NA	NA	36	32.5	7	3723534.81	57.927	3296.857	8.333	97.4	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
1076	NA	NA	1.0293837776852097	28.333	28.571	7	5344675.145	64.791	4813.55	1.818	49.692	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
1398	-0.1549019599857432	0.43933269383026263	-0.14266750356873156	44.3	50.4	NA	3361215.242	46.615	3198.75	9.167	82.222	1	1	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
1406	-0.3010299956639812	0.3010299956639812	NA	31	31.75	5.5	5860613.531	45.221	5845.778	12.909	140.083	1	1	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
1408	NA	NA	NA	33.5	33.5	NA	3752389.295	40.899	3738.818	7.2	80	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0
1710	NA	NA	NA	29	28	NA	4451368.917	74.146	3965.5	3	52	1	NA	0	NA	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
1713	NA	NA	NA	29	NA	NA	4014684	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1725	NA	NA	NA	35	37	NA	2703022.25	69.69	NA	NA	NA	1	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1901	NA	NA	NA	28	30	NA	7926188.667	71.576	6094.75	6	65	1	1	NA	0	0	0	1	1	0	0	0	0	1	0	0	0
1907	NA	NA	NA	27	28	NA	7623773	71.628	6458	6	67	1	0	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
1912	NA	NA	NA	26.5	28	NA	10367886.765	71.769	8997.167	6	68.75	1	1	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
13373	-0.3010299956639812	0.17609125905568124	-0.12493873660829993	37	NA	NA	5649159.01	68.46	5402.846	4	56.143	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
28095	-0.3010299956639812	-0.09691001300805639	NA	28	32.5	NA	8723746.45	65.383	7335.143	5	68.6	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
28152	NA	NA	NA	30	33.5	NA	4546173.529	47.4	3958	7	80	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
28450	-0.3979400086720376	0.3010299956639812	-0.1870866433571444	37	38.5	NA	7199658.923	67.966	6700.806	4	60.37	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0
29484	NA	NA	NA	30	NA	NA	4857116.3	45.822	4193.75	7	79.667	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
29485	NA	NA	NA	28	26	NA	4369909.556	47.01	3753.5	7	81	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
29486	0.0	0.3010299956639812	NA	31	22	NA	3751479.623	47.556	3231.375	7	80.667	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
31959	NA	NA	NA	27	NA	NA	9007513.333	NA	8121	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33936	-0.1549019599857432	0.25527250510330607	NA	54.333	46.75	NA	4148113.167	39.087	3654.5	7	84	1	1	1	NA	0	0	1	0	1	0	1	0	0	0	0	0
35799	NA	NA	NA	NA	NA	NA	3184702	53.3	2812.5	1	44	0	NA	1	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
35841	-0.3467874862246563	0.47712125471966244	NA	41	NA	NA	3825981	37.5	3571	NA	75	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
36816	NA	NA	NA	27	NA	NA	8622160	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36817	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36822	NA	NA	NA	31.667	NA	NA	5204225	NA	NA	NA	NA	1	0	0	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
37919	NA	NA	NA	26.5	29.45	NA	8962187.312	65.328	8053	4	51.333	1	0	0	NA	0	0	1	1	0	0	0	1	0	0	0	0
40324	-0.3979400086720376	-0.1549019599857432	NA	29	35	NA	4718618.93	66.452	4213.708	4	73.7	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
40577	NA	NA	NA	27	NA	NA	3659522.25	44.5	3328.333	7	76	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
57975	NA	NA	NA	29	33.5	NA	6724803.5	67.519	5814.75	4	59.056	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
59893	NA	NA	NA	30	30	NA	6054535	45.474	5074	13	99	1	1	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
60548	-0.5228787452803376	0.0	NA	29	28.667	NA	7492856.5	62.869	6526	NA	62	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
60550	-0.3010299956639812	0.07918124604762482	NA	29	NA	NA	7971660.444	66.499	6939.667	6	67	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
60552	-0.5228787452803376	-0.09691001300805639	NA	29	37	7.1	6944837.113	64.364	6312.556	6	67.571	0	0	1	NA	1	0	0	NA	NA	NA	1	0	0	0	0	0
65959	-0.09691001300805639	0.11394335230683678	NA	30	NA	NA	2972111.25	52.554	2760	NA	56.5	0	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
78344	-0.3010299956639812	NA	NA	37	NA	NA	2135751.5	NA	NA	NA	NA	1	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
80868	NA	NA	NA	27.5	NA	NA	5609245	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80869	NA	NA	NA	28	NA	NA	5105401.909	68.5	4634.333	3	53	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
84112	-0.6989700043360187	-0.6989700043360187	NA	37	37	NA	3636528	64.222	3033.75	3	48	1	0	0	NA	0	1	0	1	0	0	1	0	0	0	0	0
87883	-0.22184874961635637	0.0	NA	29	37	NA	6643610.364	66.34	6134.364	5	66.286	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
95485	NA	NA	NA	30	NA	NA	8205209.6	66.601	7235	6	67.5	0	NA	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
95486	NA	NA	NA	30	NA	7.3	7886572.687	66.384	6793.417	6	67.176	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
101571	NA	NA	NA	30	NA	NA	7517172.948	67.168	6333.625	5.75	70.857	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
134537	NA	NA	NA	30	NA	NA	8858424.833	61.785	8037	6	64	0	0	NA	NA	0	0	1	1	0	0	1	0	0	0	0	0
139021	NA	NA	NA	29	NA	NA	3944578.5	69.67	3477	NA	48	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
153496	NA	NA	NA	30	30	NA	3331252.333	57.39	3074.75	5	57	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
169427	NA	NA	NA	30	NA	NA	7219720.5	63.671	6123	NA	61	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
196367	NA	NA	NA	29	NA	NA	8565013.5	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
208439	NA	NA	NA	28.5	28	NA	9053857.6	68.672	8358	4	54	1	0	0	NA	0	0	1	1	0	0	0	0	1	0	0	0
244366	-0.1549019599857432	0.16136800223497488	NA	29.5	28	7	5724292.797	57.26	5344.533	8	85.667	0	0	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
263819	NA	NA	NA	29	NA	NA	4130903.75	49	3456.5	7	73	0	NA	1	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0
271420	NA	NA	NA	27	NA	NA	4574979.25	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
285556	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
293387	NA	NA	NA	25	37.5	NA	3771587.333	41.415	3733	NA	78.25	1	1	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
318683	NA	NA	NA	NA	30	NA	3396202	58.26	2958.5	5	57	0	NA	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
367190	NA	NA	NA	30	NA	NA	4935555.286	47.267	4185	7	86	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
419257	NA	NA	NA	31	NA	NA	5050109.333	47.583	4580	NA	80	0	0	1	NA	0	0	1	NA	NA	NA	0	0	0	1	0	0
431306	-0.09691001300805639	0.3010299956639812	NA	30	NA	NA	2843936	NA	NA	NA	NA	0	NA	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
482957	NA	NA	NA	30	33.5	7	8400922.625	66.345	7578.333	6	69	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
488446	NA	NA	NA	30	NA	NA	6585649	66.387	5790.5	6	64	0	0	NA	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
488447	NA	NA	NA	28	33	NA	8589378.857	66.307	7383.5	5	69	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
488729	NA	NA	NA	30	NA	NA	7424240	67.124	6433.5	6	68	0	0	NA	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
488731	NA	NA	NA	30	NA	NA	7624262	67.274	6720	6	67	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
488732	NA	NA	NA	30	NA	NA	6773686.071	66.46	6019.5	6	66	0	0	NA	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
561879	-0.4559319556497244	0.04139268515822507	NA	31	36.4	5.6	3790161.421	41.539	3799.6	8	85.2	1	1	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
587753	-0.5228787452803376	0.0	NA	27.333	27.667	6.9	6824747.081	62.532	5951.364	5	68.625	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
654447	NA	NA	NA	28	35	7.5	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
656178	NA	NA	NA	28	NA	NA	5736281	63.57	4808	4	65	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
672460	NA	NA	NA	28	NA	NA	4008675	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
931866	NA	NA	NA	NA	NA	NA	8472722.5	63.8	7700	NA	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1207504	NA	NA	NA	NA	NA	NA	7700580.909	67.287	6908	6	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1263550	NA	NA	NA	28	NA	NA	3867858.875	59.595	3390	9	99.5	0	0	NA	NA	1	0	0	NA	NA	NA	1	0	0	0	0	0
1420917	NA	NA	NA	25	27.5	NA	4620425.429	57.065	3341.5	1.667	45.667	0	NA	1	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1463165	NA	NA	NA	34	NA	NA	5424942.448	57.677	5276.833	8	84.364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1503054	NA	NA	NA	NA	NA	NA	7633134.273	67.684	6460	6	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1503055	NA	NA	NA	NA	NA	NA	6885771.514	66.748	6000	6	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1356851	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1963032	NA	NA	NA	NA	NA	NA	4031730	43.9	3896	NA	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	-0.09691001300805639	0.47712125471966244	0.7781512503836436	31	28	9.5	12740812.722	71.74	9823.833	4	59.75	0	NA	1	0	0	0	1	1	0	0	1	0	0	0	0	0
287	-0.3010299956639812	0.0	-0.3279021420642826	35.167	32.476	NA	6622155.339	66.027	6155.393	4.043	63.838	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0
303	NA	NA	-0.08039897621588903	27.84	29.269	NA	6074252.504	61.304	5511.59	6.444	72.37	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
483	NA	NA	NA	34	37	NA	1852836.5	50.85	1733	NA	59	0	0	0	NA	0	0	1	1	0	0	0	1	0	0	0	0
485	NA	NA	-0.23657200643706278	37	36	NA	2134155.253	52.436	2251.056	4	54.938	0	0	0	NA	0	0	1	1	0	0	0	1	0	0	0	0
489	NA	NA	NA	36	36	NA	2075138.667	51.827	1977	NA	59	0	0	0	NA	0	0	1	1	0	0	0	1	0	0	0	0
575	NA	NA	NA	33.5	37	NA	5659896.286	55.524	5058.5	NA	84.5	0	NA	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
615	NA	NA	-0.2456516642889812	31.15	31	6.8	5229007.715	59.532	4817.897	7	87.4	0	0	1	NA	1	0	0	1	0	0	1	0	0	0	0	0
1392	0.0	0.47712125471966244	0.17897694729316943	38.5	33	NA	5413991.077	34.56	5573.81	10.769	95.981	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0
1396	NA	NA	-0.5406075122407692	35.667	30.542	NA	5685793.884	34.621	5531	13.25	104.188	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
1405	0.0	0.47712125471966244	-0.33068311943388784	29	30	NA	5771779.5	34.019	5657.167	12.667	100	1	1	0	NA	0	0	1	1	0	0	1	0	0	0	0	0
1423	-0.1549019599857432	0.3010299956639812	-0.36552272983926837	34.82	33.314	NA	4174825.046	43.598	4072.233	9.069	85.568	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
1428	NA	NA	-0.36653154442041347	29	28.917	NA	6153835.201	33.978	6046.726	13.312	103.413	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0
1717	-0.5228787452803376	0.0	-0.24641694110709347	37	37	NA	2452132.333	53.54	2228.939	5	51.105	1	0	0	NA	0	0	1	1	0	0	1	0	0	0	0	0
1719	-0.3010299956639812	0.0	NA	37	37	7	2348353.332	52.013	2060.923	3.944	49.658	1	0	0	NA	1	0	0	1	0	0	1	0	0	0	0	0
1927	NA	NA	NA	28	30	NA	9095842.903	72.023	NA	NA	NA	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0
28031	-0.045757490560675115	NA	NA	30	NA	7.75	4756878.636	37.382	4525	13	107	1	NA	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
28091	NA	NA	NA	33	36.5	NA	2177157.333	49	1969.333	4	55	0	0	NA	NA	0	0	1	NA	NA	NA	0	1	0	0	0	0
28449	NA	NA	NA	33	36	NA	2307428	49	2098	NA	59	0	0	0	NA	0	0	1	1	0	0	0	1	0	0	0	0
37330	NA	NA	NA	30	30	NA	8181457.333	67.83	7404.333	3	49	1	0	NA	NA	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
