species_tax_id	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
45363	NA	NA	NA	37	37	NA	787044.5	25.65	637	NA	33	0	0	NA	NA	0	0	1	1	0	0	0	1	0	0	0	0
163875	-0.045757490560675115	-0.045757490560675115	NA	29	26	7.5	NA	NA	NA	NA	NA	1	0	0	NA	0	0	1	NA	NA	NA	0	1	0	0	0	0
1620405	NA	NA	NA	NA	NA	NA	4031603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
236814	0.0	NA	NA	29	28	NA	4387310.667	34.8	NA	NA	NA	0	0	0	NA	0	0	1	1	0	0	1	0	0	0	0	0
414288	-0.07058107428570727	0.3010299956639812	NA	NA	25	8	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
734	NA	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
100884	NA	NA	NA	37	37	NA	3570402	NA	NA	NA	NA	1	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
642766	0.04139268515822507	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37752	-0.1549019599857432	0.25527250510330607	0.5888317255942073	22.95	25	NA	5283296	33.16	NA	NA	NA	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
1581411	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53329	NA	NA	NA	28	30	7.2	6119470	50.6	NA	NA	NA	0	0	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
659014	-0.22184874961635637	0.2787536009528289	NA	28	25	6.75	8744781	NA	NA	NA	NA	NA	NA	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
494016	-0.5228787452803376	0.3979400086720376	NA	NA	36	7.5	4314257	NA	NA	NA	NA	0	NA	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
363858	-0.3979400086720376	0.3010299956639812	NA	35	37	NA	6328326	NA	NA	NA	NA	1	1	1	NA	1	0	0	NA	NA	NA	1	0	0	0	0	0
263909	-0.5228787452803376	-0.3010299956639812	NA	28	30	7	3906554	NA	NA	NA	NA	1	NA	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
2271	NA	NA	NA	87	86	NA	1841541.5	55.1	1989	1	44	0	0	0	NA	0	1	0	NA	NA	NA	1	0	0	0	0	0
261291	NA	NA	NA	37	NA	NA	3261379	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
102227	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
